hair	feathers	eggs	milk	airborne	aquatic	predator	toothed	backbone	breathes	venomous	fins	legs	tail	domestic	catsize	type	name
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	Yes	fish	dogfish
No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	Yes	No	Yes	mammal	dolphin
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	Yes	No	bird	dove
No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	duck
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	elephant
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	flamingo
No	No	Yes	No	No	No	No	No	No	Yes	No	No	6.0	No	No	No	insect	flea
No	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	4.0	No	No	No	amphibian	frog
No	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	Yes	No	4.0	No	No	No	amphibian	frog
Yes	No	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	2.0	Yes	No	No	mammal	fruitbat
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	giraffe
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	2.0	No	Yes	Yes	mammal	girl
No	No	Yes	No	Yes	No	No	No	No	Yes	No	No	6.0	No	No	No	insect	gnat
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	Yes	Yes	mammal	goat
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	2.0	No	No	Yes	mammal	gorilla
No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	gull
No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	haddock
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	Yes	No	mammal	hamster
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	No	mammal	hare
No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	hawk
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	herring
Yes	No	Yes	No	Yes	No	No	No	No	Yes	Yes	No	6.0	No	Yes	No	insect	honeybee
Yes	No	Yes	No	Yes	No	No	No	No	Yes	No	No	6.0	No	No	No	insect	housefly
No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	kiwi
No	No	Yes	No	Yes	No	Yes	No	No	Yes	No	No	6.0	No	No	No	insect	ladybird
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	lark
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	leopard
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	lion
No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	6.0	No	No	No	invertebrate	lobster
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	lynx
Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	mink
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	No	mammal	mole
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	mongoose
Yes	No	Yes	No	Yes	No	No	No	No	Yes	No	No	6.0	No	No	No	insect	moth
No	No	Yes	No	No	Yes	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	No	amphibian	newt
No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	8.0	No	No	Yes	invertebrate	octopus
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	No	mammal	opossum
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	oryx
No	Yes	Yes	No	No	No	No	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	ostrich
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	Yes	No	bird	parakeet
No	Yes	Yes	No	No	Yes	Yes	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	penguin
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	pheasant
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	Yes	fish	pike
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	piranha
No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	Yes	No	0.0	Yes	No	No	reptile	pitviper
Yes	No	Yes	Yes	No	Yes	Yes	No	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	platypus
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	polecat
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	Yes	Yes	mammal	pony
No	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	Yes	No	Yes	mammal	porpoise
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	puma
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	Yes	Yes	mammal	pussycat
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	raccoon
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	Yes	Yes	mammal	reindeer
No	Yes	Yes	No	No	No	Yes	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	rhea
No	No	No	No	No	No	Yes	No	No	Yes	Yes	No	8.0	Yes	No	No	invertebrate	scorpion
No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	seahorse
Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	0.0	No	No	Yes	mammal	seal
Yes	No	No	Yes	No	Yes	Yes	Yes	Yes	Yes	No	Yes	2.0	Yes	No	Yes	mammal	sealion
No	No	No	No	No	Yes	Yes	Yes	Yes	No	Yes	No	0.0	Yes	No	No	reptile	seasnake
No	No	Yes	No	No	Yes	Yes	No	No	No	Yes	No	0.0	No	No	No	invertebrate	seawasp
No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	skimmer
No	Yes	Yes	No	Yes	Yes	Yes	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	skua
No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	0.0	Yes	No	No	reptile	slowworm
No	No	Yes	No	No	No	No	No	No	Yes	No	No	0.0	No	No	No	invertebrate	slug
No	No	Yes	No	No	Yes	No	Yes	Yes	No	No	Yes	0.0	Yes	No	No	fish	sole
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	sparrow
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	2.0	Yes	No	No	mammal	squirrel
No	No	Yes	No	No	Yes	Yes	No	No	No	No	No	5.0	No	No	No	invertebrate	starfish
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	Yes	Yes	0.0	Yes	No	Yes	fish	stingray
No	Yes	Yes	No	Yes	Yes	No	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	swan
No	No	Yes	No	No	No	No	No	No	Yes	No	No	6.0	No	No	No	insect	termite
No	No	Yes	No	No	Yes	No	Yes	Yes	Yes	No	No	4.0	No	No	No	amphibian	toad
No	No	Yes	No	No	No	No	No	Yes	Yes	No	No	4.0	Yes	No	Yes	reptile	tortoise
No	No	Yes	No	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	No	reptile	tuatara
No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	Yes	0.0	Yes	No	Yes	fish	tuna
Yes	No	No	Yes	Yes	No	No	Yes	Yes	Yes	No	No	2.0	Yes	No	No	mammal	vampire
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	4.0	Yes	No	No	mammal	vole
No	Yes	Yes	No	Yes	No	Yes	No	Yes	Yes	No	No	2.0	Yes	No	Yes	bird	vulture
Yes	No	No	Yes	No	No	No	Yes	Yes	Yes	No	No	2.0	Yes	No	Yes	mammal	wallaby
Yes	No	Yes	No	Yes	No	No	No	No	Yes	Yes	No	6.0	No	No	No	insect	wasp
Yes	No	No	Yes	No	No	Yes	Yes	Yes	Yes	No	No	4.0	Yes	No	Yes	mammal	wolf
No	No	Yes	No	No	No	No	No	No	Yes	No	No	0.0	No	No	No	invertebrate	worm
No	Yes	Yes	No	Yes	No	No	No	Yes	Yes	No	No	2.0	Yes	No	No	bird	wren
