id,TARGET_poverty,total_population,total_men,total_women,percent_hispanic,percent_white,percent_black,percent_native,percent_asian,percent_pacific,income_gross,income_per_capita,percent_employ_professional,percent_employ_service,percent_employ_office,percent_employ_construction,percent_employ_production,percent_travel_drive,percent_travel_carpool,percent_travel_walk,percent_travel_other,percent_work_at_home,total_employed,percent_employed_private,percent_employed_public,percent_employed_self,percent_employed_family,percent_unemployment
12,23.6,15629,7531,8098,5.6,56.8,33.6,0,0.8,0,34890,20964,27.1,16.6,23.5,16.8,16.1,82.1,9.7,0.7,2.3,4.7,5865,75.2,18.3,6.4,0.1,13.6
13,15,17377,8696,8681,1.1,96.9,0.5,0.2,0.3,0,40654,22318,28.3,15,19.7,14.1,22.9,77.8,12.1,4.7,1.1,4.2,6956,79.1,12,8.6,0.3,6.9
14,13.1,47587,23289,24298,3,91.5,2.6,0.4,0.7,0,50295,28091,28.6,16.4,22.8,10.6,21.5,82.8,8.2,2.5,1.3,4.5,22825,84.1,9.6,6.1,0.2,4.2
15,20.5,41319,21937,19382,5.8,86.5,5.6,0.2,0.3,0,42256,20597,29.9,20.8,20,9.8,19.5,80.9,8.9,3.4,0.8,5.9,15236,79.7,13.4,6.8,0.1,7.4
16,9.3,6840,3411,3429,2.1,95.6,1.2,0.2,0.4,0,50195,31427,37.3,17.2,19.2,12.2,14,75.9,8,5,1.1,9.7,3458,70.1,11.7,18,0.2,3.1
17,12.8,7481,4079,3402,33.9,64.3,0.1,0,0.6,0,46176,28492,30.5,20.1,23.1,18.4,8,67,10.3,10.9,2,8.3,4184,72.7,18.1,9.2,0,5.7
18,15.8,14102,6976,7126,3.2,91.6,3.6,0,0.3,0,41720,21879,23.3,13.9,18.3,15,29.5,78.9,14.9,1.7,0.3,4.1,6136,83.1,10.8,6,0.1,6.3
19,14.6,309924,153834,156090,5.5,64.8,21.6,0.4,2.8,0.1,47361,25666,32.6,20.6,28.8,8.3,9.7,75.9,10.6,2.1,1.7,9,134161,78.3,15.3,6.3,0.1,7.2
20,8.6,6952,3419,3533,1.7,93.6,0,0.9,0.4,0,62608,35214,38.4,14.2,26.3,11,10.2,74.8,14.1,2.2,0.7,7.5,3697,78.2,11.7,9.8,0.3,7.4
21,15.6,15334,7845,7489,1.6,90.6,0.5,4.8,0.4,0,41135,23963,26.9,21.5,21.4,13.4,16.8,79.6,9.7,2.6,1.1,6.8,6464,75.8,14.5,9.3,0.4,7.5
22,9.9,17238,9312,7926,38.7,55.1,4.5,0.2,0.3,0,56842,24584,24.4,19.6,19.4,23.9,12.7,84.7,10.7,1.3,0.6,1.8,7371,77.7,16.2,6,0.1,3.3
23,20.2,7071,4372,2699,3.9,75.4,10.8,0,6.9,0,34017,14792,46.6,27.5,21.4,1.7,2.8,49.2,7.9,31.7,2.6,8.5,2082,80.3,14.9,4.8,0,2.7
24,11.2,10912,5804,5108,8.6,73.8,8,0.6,2.4,0.1,91942,47924,32.3,15.8,26.5,18.5,7,67,8.6,12.3,5.2,5.3,6408,71.2,14.5,14.4,0,3.8
25,13.6,53899,28029,25870,11.8,80.8,1.7,1.3,1.1,0.2,54325,31570,32.8,25.6,21.2,11.7,8.7,80.3,8.5,2.4,1.7,6.5,20401,68.7,18.1,12.8,0.3,7.9
26,16,111966,56328,55638,3,90.1,0.5,2.5,1.2,0.1,46164,26779,39.1,20.6,23.4,9.5,7.4,71.9,10.3,5.2,5.4,5.5,59103,75.6,17.2,7.2,0,8.2
27,11,56150,27488,28662,1.4,95.1,0.7,0.2,0.9,0.1,52965,32474,39.5,17.5,20.6,10.7,11.7,76.2,10.5,4.4,1,7,28487,76.7,13.2,10,0.2,5.1
28,15.6,43779,21861,21918,6.4,89.3,1.1,0.3,1.9,0,49080,23260,27.8,15.6,22.9,9,24.7,83.7,10,1.6,2.4,1.9,20125,84.9,9.9,4.7,0.5,6.2
29,29.6,3628,1958,1670,63.8,32.1,0.4,0.1,1.5,0,29000,20737,25.2,18.1,23.6,22.7,10.4,74.1,14.2,4.3,0,7.4,1242,63.5,22.4,14.1,0,9.1
30,26.2,27329,13516,13813,1,95.6,1.6,0.1,0.9,0.1,31820,19890,31.8,17,26.1,12.7,12.4,83.9,8.5,0.3,4.6,2.5,8819,75.2,20.5,4.4,0,13.1
31,18.4,323259,160907,162352,25.3,67,1,0.7,1.8,0.8,48432,22490,30.2,19.5,24.2,12.8,13.4,73.6,14.6,3.9,2.1,4.1,137706,75.4,18.7,5.8,0.1,10.7
32,18.7,81263,39803,41460,4.9,70,22.8,0.4,0.8,0.1,44016,22647,29.9,16.3,28.2,10.2,15.5,84.4,9.9,1,1.4,3.1,33151,82.4,12.3,5.2,0.2,9.9
33,8.2,7225,3658,3567,0,95.8,0.1,0,0.5,0,45531,22527,21.8,24.1,23,12.1,19,82.5,11.6,1.5,1.6,2.7,3429,76.8,15.2,6.8,1.1,3.9
34,22,75696,40410,35286,8.1,76.9,6.3,0.4,4.9,0.2,48428,26619,42.6,21.5,21.7,6.9,7.3,73.7,8.7,8.7,2.6,5.9,35629,65.2,30.3,4.4,0.1,5.6
35,9.4,89190,44355,44835,4.1,72.9,1,11.7,1,0,58139,28057,34.1,15,24.8,11.3,14.9,86.1,8.4,0.8,1.4,3.1,42093,80.5,14.2,5.2,0.2,5.5
36,21.2,16523,8374,8149,3.1,71.2,0,22.3,0.5,0,44633,20869,33.9,17.3,22.6,12.6,13.7,80.1,8.3,6.2,1.1,4.1,7364,68.1,25.7,4.6,1.6,4
37,16,35732,17973,17759,10.6,80.2,2.6,1.8,1.6,0,46624,23130,27.1,20.3,20.5,11.6,20.6,80.2,12.7,2.1,1.5,3.5,15567,76.8,16.7,6.1,0.4,5.2
38,25.2,36027,17686,18341,1.2,96.1,1.2,0.3,0.1,0,34103,18463,31,17.6,25.9,9.2,16.3,81.6,11.1,4.1,0.6,2,12794,73.4,22.1,4.6,0,9.2
39,10,33986,16752,17234,2.5,77,16.7,0.4,0.5,0,57829,28323,33.1,16.1,24.2,13.2,13.4,81.1,10.3,0.8,1.6,5.5,16077,75.2,16.4,8.1,0.3,8.1
40,11.4,217506,104175,113331,6.5,46.7,40.7,0.1,3.3,0,64752,26924,33.5,15.8,26.9,9,14.7,81,9.8,0.5,1.2,6.5,100413,77.1,18.3,4.5,0.1,7.7
41,33.4,12060,5978,6082,93,6.4,0.4,0.1,0,0,26672,13813,28.7,26.9,12.6,18.2,13.7,74.9,12.6,3.4,4.4,4.6,4276,70.4,23.8,5.6,0.1,12.2
42,20.8,9302,4599,4703,10.4,75.5,3.8,5,0.3,0.1,39909,23260,30.2,19.2,19.3,13.6,17.6,80.1,10.7,0.7,1.2,6.2,4037,67.8,19.9,11.7,0.5,5.5
43,21.9,812,432,380,6.9,89.2,0,0,1.4,0,41103,20758,31.1,12.7,18.5,33.5,4.2,64,3.5,12.4,3,17.2,379,71.2,12.4,11.9,4.5,0.8
44,19.3,33122,16772,16350,2.5,47.7,48.7,0.3,0.1,0,47128,22252,26.9,22.1,25.1,11.9,13.9,85.2,8,2.3,2.1,1.8,12825,76.1,19.6,4.2,0,7.5
45,13.4,1426772,691154,735618,21.3,56,18.1,0.1,2.6,0,57256,36303,36,21.9,25.8,9.1,7.2,78.5,9.7,1.5,2,6.4,655496,83.1,10,6.7,0.1,7.4
46,16,444348,215996,228352,3.8,83.1,9,0.2,2,0,48701,28337,39.7,17.1,26.1,7.3,9.8,84.9,7.8,1.4,1,4.1,215253,80.4,13.6,5.9,0.1,6.5
47,15.9,5238541,2540704,2697837,25.1,42.7,23.4,0.1,6.9,0,59426,33722,39.3,17.9,23.6,6,13.1,61.7,8.1,4.4,2.4,4.5,2521437,84.2,11.1,4.6,0.1,8.7
48,4.9,28207,15159,13048,2,83.4,12.2,0.3,0.5,0.1,77896,32110,38.2,18,22.5,13.5,7.8,82.1,9.4,0.3,1.6,6.3,13301,77.7,16.6,5.5,0.1,4.9
49,13,67979,33786,34193,0.7,97.4,0.9,0,0.2,0,44942,24391,27.4,18.3,22.1,13.8,18.5,81.3,10.2,3.2,1.1,3.4,29897,84.9,10,4.9,0.1,8.5
50,19,41444,20231,21213,13,72,12.7,0,0.7,0,40652,22314,20.9,15.4,22.8,14.6,26.2,86.8,7.3,1.2,1.1,3.1,17553,81.1,12.8,6,0.1,7.2
51,25.6,10309,4769,5540,2.3,52.4,42,0,0.3,0,34983,22666,30.6,17.3,20,13.7,18.3,89.1,6.6,0,1.8,2.4,4071,67,29.1,3.8,0,9.1
52,13,23300,12515,10785,13.5,76.7,3.4,1,0.8,0.1,48601,25156,24.3,17.3,25.2,17.7,15.5,85.6,10,1.1,0.7,2.4,9611,78,12.4,9.2,0.4,2.9
53,9.7,23188,11646,11542,5.3,89.9,0.6,1.3,0.8,0,64410,27978,40.5,12.4,21.7,12,13.4,78.6,13.3,2.4,1.8,3.9,10873,69.6,22.5,7.9,0,3.9
54,61,18207,8781,9426,99.5,0.5,0,0,0,0,13682,7245,27,27.6,18.6,14.1,12.7,81.1,10.8,3.8,0.9,3.1,3824,67.7,26,6.3,0,27.2
55,15.9,7276,3594,3682,3.5,92.2,0.3,0.7,0.4,0,38046,22538,34.8,18.3,21.4,13.7,11.7,72.8,11.4,5.5,1.4,8.1,2878,57.7,29.3,12.4,0.6,9
56,12.3,171493,84184,87309,6.4,80.7,7.9,0.3,2.5,0,57681,30798,36.4,17.6,23.3,7.9,14.9,86,6.3,1.7,0.9,4.4,83710,83.4,11.5,4.9,0.1,4.2
57,20.5,11864,8130,3734,3.3,38.5,55.8,0.3,0.1,0.1,39194,15143,26.1,20.6,25.3,14,14,85.6,9.5,1,1.2,2,2551,76.8,19.1,3.7,0.4,6.9
58,19.8,16157,7931,8226,0.6,97.8,0.1,0,0.5,0,39096,21619,23.4,21.4,18.7,19.2,17.3,85.4,8.7,3.1,0.6,2.2,5548,79.7,17.2,2.9,0.1,8.1
59,11.1,5711,2814,2897,0.4,97.1,0.4,0,0.5,0,48750,31523,29.6,17.3,22,14.9,16.1,81.9,8.8,2.6,1,5.2,2882,73.1,13.6,13,0.3,2.7
60,11.9,19214,10067,9147,2.9,91,4.1,0.1,0.4,0,47468,25955,28.6,16.1,21.5,11.3,22.4,84.3,10.6,1.6,0.8,2.4,8102,80.2,13.6,6,0.2,6.2
61,20.8,11615,5822,5793,29.1,66.9,0.5,0.5,0.2,0,29356,18982,28.7,25.9,22.9,10.6,11.9,80.5,10.9,3,0.4,5.2,3971,59.5,30,10.2,0.3,6.8
62,21.8,16897,9295,7602,1.8,90.7,6.2,0.4,0.2,0,30701,16333,24,20.1,24.3,15.1,16.5,82.9,11.4,0.1,3.9,1.8,5703,69.4,22.5,8.1,0,12.2
63,13.1,24645,12202,12443,3.1,91.3,0.4,3.1,0.8,0,45548,27083,30.6,22.6,23.8,14,9,71.4,13.9,8,1.7,4.5,13004,76,17.3,6.7,0,3.8
64,4.8,2899,1465,1434,1.2,94.5,0.1,1.3,1.6,0,55197,33233,29.1,13.2,26.2,15.9,15.6,75.3,11.8,6.6,1.3,5.1,1747,63.7,25.4,10.8,0.2,0.8
65,5.6,578797,283504,295293,7.4,80.5,4.5,0.2,4.7,0,81121,43061,51,12.8,23.9,4.9,7.4,85,6.9,0.8,0.9,6.1,312189,84,10.6,5.3,0.1,3.5
66,17.3,4890,2378,2512,2.3,94.4,1.6,0.6,0.2,0,38860,24015,27.9,20.8,23.2,10.6,17.6,84.4,8.1,0.1,2.1,5.4,1978,77.5,16.6,5.8,0.2,7
67,5.6,1038,594,444,6.8,78.6,0.2,5.3,4,0,70673,39376,29.7,23.8,22.7,8.8,15,42,6.4,37.2,6.8,6.5,701,69.8,22.1,7.8,0.3,7.9
68,15.6,21485,10340,11145,1.6,48,49.6,0,0.2,0,52055,25724,22.3,19.3,23,14.3,21.2,84.8,9.7,1.9,1.9,1.2,9193,83.2,12.7,3.7,0.3,8.2
69,26.1,35321,17241,18080,2,93.7,1.5,0.2,0,0,31187,18691,21.4,24,20.9,10.9,22.7,86.4,10.4,1,0.8,1.4,14071,77.4,15.3,7.2,0.1,11.1
70,32.2,6503,3915,2588,4.8,32.5,60.5,0,0.5,0,29617,13865,30.3,21.4,17.5,15,15.8,79.2,9.8,2.5,0.2,7.6,1612,71.5,23.9,3.9,0.7,14.9
71,4.5,498192,244074,254118,12.4,72.9,3,0.1,9.7,0,100214,49552,49.6,13,24.7,5.8,6.9,78.7,7.7,2.1,1,5.5,258862,82.8,11.8,5.3,0.1,6.3
72,13.5,115320,56734,58586,1.3,90.5,5.6,0.1,0.7,0,44156,23683,30.4,20.4,23.5,8.4,17.4,81.8,8.5,3.5,1,4.8,50055,82.8,11,6,0.2,6.8
73,15.5,70761,35084,35677,3.7,77.4,2.3,10.2,0.5,0,45016,23010,28.1,16.7,23.2,12.1,20,84.4,9.7,1,0.5,4.2,29749,81.7,12.4,5.7,0.2,5.7
74,20.7,48118,23717,24401,25.2,58.4,13.3,0.2,0.7,0.9,41505,20697,25.2,20,22.4,11.5,20.9,81.6,11.9,1.5,1.3,3.6,20159,74.8,17.3,7.8,0.2,10.9
75,17.1,54308,26360,27948,5.6,89.4,1,0.8,0.9,0.1,39661,21381,27.3,24.9,30.4,8.7,8.7,75,15.6,2.8,1.1,4.9,24422,82.8,9.3,7.7,0.1,6.3
76,52.3,36279,17648,18631,99.8,0.2,0,0,0.1,0,15627,7960,25.9,25.9,20.7,12.8,14.7,86,7.9,2.3,2.3,1.5,8083,65.1,27.6,7.3,0,24.3
77,34.2,31583,15680,15903,8.4,36.9,52.8,0.2,0.6,0,30359,17721,30.5,20.6,23.6,13,12.3,87.2,6.5,0.6,1.2,3.7,10190,75.2,18.2,6.4,0.1,10.9
78,9.6,63505,31769,31736,1.4,95.1,0.6,1,0.4,0,53121,30013,32.9,20.3,24.1,10,12.8,83.3,8,1.5,1.6,5.2,30124,81.2,12,6.8,0.1,3.5
79,26.2,25437,12013,13424,2.3,90.5,2.4,0.2,2.3,0.1,38750,21778,36.8,18.2,24.1,9.4,11.5,77.3,12.1,4,2.6,4,11274,73.6,20.9,5.3,0.2,5.5
80,4.4,126250,62901,63349,5.9,86.9,2.4,0.1,3.6,0.2,105444,51353,50.8,13.4,23.2,6.6,5.9,82.3,5.5,1.8,0.7,7.6,65918,79.6,13.6,6.6,0.1,5.9
81,26.2,46192,22565,23627,4,61.3,33.1,0.1,0.5,0,32083,17840,24.4,16.2,22.1,12.1,25.2,85.5,9,1.2,2.7,1.5,17730,78.5,15.3,6.1,0.1,10.3
82,13.7,20501,10087,10414,2.4,88.6,0.4,3,0.2,0.5,41101,21006,32.4,15.8,21.5,8.4,22,84.9,7.8,3.2,0.9,3.2,8713,75.2,17.5,7,0.2,5.4
83,17.3,206373,100568,105805,1.6,87.6,8.2,0.1,0.5,0,43073,23509,26.6,19.3,23.3,9.3,21.6,88.6,6.4,1.1,1,2.5,88133,82.9,11.6,5.4,0.2,7.4
84,41.5,46647,22477,24170,99.4,0.5,0,0,0.1,0,20751,12453,32.5,19.6,25.4,9.3,13.2,78.8,4.3,4.5,8.4,3.3,15825,66.3,23.1,10.7,0,12.8
85,6.6,223774,110362,113412,2.8,91.7,1.4,0.1,2.4,0,71496,35922,44.1,15.4,24.1,7.9,8.6,82.8,8,2,1,5.4,113884,76.2,18.1,5.6,0.1,6
86,21.3,6333,3207,3126,9.3,79,0.7,6.2,0.1,0,33449,19409,24.3,20.8,18.4,17.1,19.3,80.2,12.6,2.9,0.5,3.6,2497,71.8,16.9,11.1,0.1,6.5
87,19.2,155258,74019,81239,11.9,65.9,18.2,0.2,1.5,0.1,41814,23434,31.7,18,24.2,10,16.1,83.1,10.6,1.4,1.3,3.4,71156,81.2,12.7,5.8,0.3,7.9
88,9,79359,42581,36778,6.8,79.2,8.4,0.4,1.5,0,70022,30170,37.8,19,21.7,10.2,11.4,81.4,11,2.1,1.8,3.3,34678,70.8,25.5,3.7,0,4.2
89,7.7,4341,2251,2090,3,96,0.7,0,0,0,53152,30511,35.2,12.3,20.1,15.2,17.1,74.3,11.2,1.7,0.5,12.2,2317,71.8,11.9,16.3,0,3.1
90,26,10757,5093,5664,11.8,56.5,30.2,0,0.8,0,38736,20736,29.3,15.5,22.9,13.5,18.9,76.4,9,1.1,8.4,4.9,4308,74.6,16.7,8.7,0,6.6
91,14.7,273263,135654,137609,33.3,57.8,0.8,0.2,4.4,0.1,73663,36388,40.7,18.8,21.3,10.9,8.2,69.2,9,4.5,7,7.5,133847,73.5,15.4,10.8,0.3,6.7
92,5.3,33739,16585,17154,1.5,96.5,0.4,0.1,0.7,0,74410,37043,41.1,14.8,24.6,10.1,9.4,84.6,7.3,1.2,0.7,5.9,17657,83.7,11.9,4.3,0.1,4.4
93,15.8,9050,4568,4482,3.4,84.7,0.2,8.1,1,0.2,43472,23120,22.1,22.1,17.9,14.8,23.1,77.2,8.3,6.9,2.7,4.2,3450,69.6,20.7,9.5,0.2,9.6
94,13.7,45906,24284,21622,1.8,91.2,5.1,0,0.5,0,44396,21714,28.7,19.5,20.8,13.2,17.8,78.1,11.1,6,1,3.4,18580,77.8,15.1,7,0.2,8.1
95,15.1,110801,54425,56376,10.1,72.2,15.1,0.2,1,0,56542,26150,30.5,17.4,23.6,9.3,19.2,82.9,7.9,2.6,2,2.9,49811,82.9,12.9,4,0.1,7.5
96,15.2,749356,362021,387335,7.9,71.6,14.5,0.2,3.5,0,52553,29424,41.9,17.8,24.3,5.7,10.3,81.4,7.7,3.2,1.2,3.5,361948,82.6,12.4,4.9,0.1,7.7
97,24.5,5806,3767,2039,32,60.8,6.1,0.5,0.4,0,32500,14028,31,27.2,18.5,13.9,9.3,77.7,12,4,2.7,3.5,1370,47.6,40.1,12.3,0,9.3
98,20.5,5853,3342,2511,25.2,68.6,3.3,0.3,1,0,39850,22140,30.8,24.3,16.2,15.4,13.3,83.1,10.3,0.9,2.4,3.3,2227,62.4,22.5,15,0.2,6.9
99,12.6,41093,19857,21236,2.1,95.1,0.2,0.5,0.4,0,40072,24737,30.1,19,22.9,10.5,17.6,84.1,9.2,2.4,0.7,3.3,15926,79.5,11.7,8.6,0.2,5.8
100,16,207100,102637,104463,8.7,80.3,0.8,2.6,3.9,0.3,53145,27223,34,20.2,23.9,10.3,11.6,73.6,9.3,5,2.9,6.4,98265,75.1,18,6.6,0.3,8.2
101,4.4,49874,24825,25049,1.7,94,1,0.5,0.9,0,76094,35559,44.7,11.4,25.6,8.5,9.9,87.6,7.2,0.6,1.1,3.5,27623,83.3,10.8,5.9,0,1.9
102,18.9,8959,4496,4463,2.5,95.8,0.4,0.9,0.2,0,41715,22087,24.6,17.1,19.6,13.5,25.2,71.8,15.7,2.5,2.1,7.8,3705,74,18,8,0,7.7
103,5.2,137145,69055,68090,10.7,65.6,16.7,0.3,2.9,0.1,97144,37198,45.9,16.7,22.6,9.1,5.8,72.7,15.5,1.5,1.1,5.5,64619,64.6,31.9,3.4,0.1,5.5
104,19,52326,25712,26614,2.9,89.3,3.2,1,0.5,0.1,39281,20946,26.1,12.9,21.5,11.3,28.1,87,8.4,1.3,0.9,2.3,20261,77.4,15.5,7,0.2,7.7
105,19.8,9033,4464,4569,0.6,98.1,0.2,0.1,0,0,38854,21018,25.2,22.5,21.2,11.5,19.5,86.1,8.5,3.4,0.2,1.7,3296,75.8,18.9,5.2,0,10.9
106,20.2,21802,10764,11038,2.9,90.8,2.1,1.1,1.3,0,37982,19708,27.5,19.6,18.7,12.9,21.3,81.5,10.4,1.5,0.8,5.3,8339,72.2,19.2,8.5,0.1,8.1
107,18.3,44003,21412,22591,5.4,72.6,1.9,14.4,0.5,0,38847,20688,30.1,19.4,23.6,9.6,17.2,80.9,11.4,2.1,2.2,2.9,18472,72.3,21.5,6.1,0.1,8.1
108,18.8,33895,16320,17575,2.2,56.2,39.3,0.3,1,0,37342,22002,24.3,13.5,23,11.6,27.6,87.1,9.7,0.6,0.5,2,14527,84.5,11.8,3.7,0,6.4
109,11.2,25165,11919,13246,3.2,85.8,7.6,0.1,2,0,50068,27560,38.3,17.9,26.5,5.1,12.2,80.8,9.8,4.2,0.9,3.2,12506,79.8,17.5,2.7,0,4.8
110,15.6,20900,11235,9665,1.7,92.1,3.7,0.2,0.8,0,45031,22239,26.2,18.7,18,16.5,20.6,87.5,9.3,1.8,0.3,0.9,8087,82.9,12.4,4.5,0.2,5.9
111,14.2,7586,3768,3818,0.9,95.3,2.2,0.1,0.1,0,43186,23463,29.6,16.6,21,12.1,20.7,77,12.5,1.3,1.2,8,3129,70.8,15.9,13.3,0,3.7
112,12.8,103517,50902,52615,1.5,93.1,2.2,0.1,1.3,0,51569,26320,30.4,15.7,22.6,9.4,21.9,85.5,8.9,1.4,0.8,3,49186,83.4,11.4,4.8,0.4,7.6
113,12.6,31586,17528,14058,3.6,79.3,14.9,0.4,0.4,0,57866,22846,33.3,19.5,25.5,14.2,7.5,84.6,10.1,1.3,0.8,3.2,13589,62.4,32.1,5.3,0.1,6.9
114,11.7,35740,17503,18237,2.5,70.7,22.8,0.1,0.9,0,65741,31460,36.2,14.5,22.7,13.4,13.2,87.5,8.8,0.5,0.2,2.8,17246,74.4,19.9,5.5,0.2,8.3
115,11.6,89341,44024,45317,2.1,91.5,0.7,0.5,3.2,0.1,55762,32469,42.7,18.8,19.6,8.6,10.3,73.9,8.7,8.5,2.5,4.9,45198,75.8,15.4,8.6,0.2,5
116,17.2,68609,33911,34698,2,91.4,4.3,0.1,0.6,0,43581,22564,27.9,13.9,24.5,11.5,22.1,85.4,9.4,1,0.9,3.1,28821,81,13.1,5.7,0.1,7
117,26.3,46449,22944,23505,2.1,65.8,30.1,0.3,0.2,0,32962,18345,24.7,21.6,24,15.4,14.3,81.1,12.8,1.4,2,2.6,16259,76,18.3,5.5,0.2,12.3
118,20.5,285890,135980,149910,6.1,57.2,30.7,0.2,3.3,0,49941,28548,45.1,18.2,26.4,5.2,5.1,80.7,9.4,2.4,2,3.9,143570,64.8,31.3,3.8,0.1,8.8
119,17.6,68053,32976,35077,1.3,90.7,5.6,0.1,0.3,0,41942,23188,28.5,21,23.7,11.1,15.7,82.3,8.9,4.2,0.9,3.3,27871,83.7,10.9,5.3,0.1,8.8
120,11.5,6570,3218,3352,1.3,96.7,0.4,0,0.9,0,49632,26549,25.1,13.9,22.2,15,23.8,84.9,7.5,2.3,0.8,4.3,3136,82.7,9.2,8,0,6.1
121,30.6,6946,3430,3516,4.3,38.5,0.1,55.1,0.6,0.1,41266,18529,35,19.5,20.1,12.1,13.3,72.5,11.4,7.1,1.8,5.5,2483,52.4,37.8,9.8,0,14.4
122,15.3,3824,1918,1906,4.3,85.6,0.1,6.8,0.8,0,40313,23285,31.6,20.8,18.6,14.4,14.6,72.5,10,8.5,2.5,6.3,1524,61.8,26.5,11,0.7,5.9
123,40.5,3438,1659,1779,4.1,30.3,1,51.5,0,0,42171,16549,42.2,16.4,20.6,13,7.8,63.7,14.8,5.1,3.1,11.8,1168,44.9,36.6,17.6,0.9,14.7
124,15.7,4505,2200,2305,4.6,89.7,2.5,1,0,0.1,41330,26032,30.1,24.2,11.3,24.8,9.6,66,11.5,2.9,0,19.6,1389,59.4,16.9,23.2,0.5,8.7
125,15.4,9267,4600,4667,12.7,84.6,0.1,0,1,0,49718,25879,31.1,16.4,15.9,13.2,23.3,79,14.6,1.7,1,3.2,4610,80.9,11.9,6.8,0.4,4.4
126,33.8,417947,201583,216364,88.5,10.1,0.4,0.1,0.6,0,33266,15105,27.9,25.3,25,10.7,11.1,83.1,10.5,1.6,1.8,2.2,148011,72.7,18.2,8.9,0.2,10
127,17.2,42884,22029,20855,2,93.8,2.3,0.2,0.5,0,43965,23554,30.7,19.5,18.8,10.6,20.5,82.3,9.4,3.9,1.3,2.6,18277,81.4,11.8,6.7,0.1,9.1
128,12.8,16483,8483,8000,1.1,95.5,1.8,0.6,0.4,0,44459,23020,24.6,19.2,19.9,11.4,24.9,82,7.6,3.4,1.4,5.1,7491,77.5,13.3,9.1,0,6.5
129,14.9,35796,19025,16771,15.6,57.2,16.8,0.7,3.1,0.8,46096,21583,31.8,23.4,20.3,10.5,14.1,83.5,9.2,1.9,2.2,3,11575,62.5,32.3,4.9,0.3,8
130,18.9,4141,2164,1977,4,92.2,0,1.1,0,0,37976,23290,32.3,19.4,17.7,23.9,6.8,67,11,11.3,3.6,5.4,1722,71.5,18.9,9.6,0,4.7
131,10.1,63209,32911,30298,1.4,94.2,1.3,0.3,1.2,0,52109,25651,29.5,16.7,21.8,10.6,21.4,80.8,8.7,2.6,1.5,6.4,31085,81.2,10.8,7.7,0.3,5.1
132,54.3,38815,19039,19776,99.2,0.4,0,0,0,0,14427,7685,30.9,26.4,23.8,12.7,6.2,88.7,5.1,4.3,0.8,0.6,9245,59.1,29.1,11.7,0,23
133,21.6,48571,26887,21684,4.6,65.5,26.8,0.7,0.6,0.1,36944,18126,29.1,27.1,23.1,10.4,10.4,88.6,6.1,1.3,1.6,2.4,16193,66.9,29,3.9,0.1,11.2
